 ,Subject,Content,Problem
178553,Solicitud nueva Wiki,Hola Desde el equipo de CDN Operations perteneciente al proyecto Telefonica CDN necesitariamos la creacion de una wiki. El proposito principal de dicha wiki es aglutinar informacion util para el equipo y mejorar el acceso a dicha informacion la cual actualmente esta dispersa en multiples sitios distintos y formatos. En cuanto a las necesidades de la propia wiki no requerimos de nada especial mas que sea accesible desde internet y poder disponer de varios usuarios de administracion por nuestro lado con los que podamos gestionar los accesos a nuevos usuarios etc. Para la URL de acceso nos gustaria que incluyera en el dominio o path cdn-operation. Por favor para cualquier informacion adicional que se necesite no dudeis en consultarnos. A continuacion detallo las necesidades iniciales de usuarios para la wiki. Muchas Gracias y un Saludo Sergio. Usuarios Administradores Â� Usuario TID aalm Ã�lvaro Aldana Lopez De Los Mozos alvaro.aldanatelefonica.com mailto alvaro.aldanatelefonica.com Â� Usuario TID igm ISABEL GOMEZ MATEOS e.cdnoperationslead.tidtelefonica.com mailto e.cdnoperationslead.tidtelefonica.com Â� Usuario TID ssc Sergio Sanchez Custodio e.cdnsupportlead.tidtelefonica.com mailto e.cdnsupportlead.tidtelefonica.com Usuarios normales Â� Usuario TID ear Elias Ã�lvarez Rodriguez elias.alvarez.exttelefonica.com Â� Usuario TID drs Diego Ruiz e.seguridadcdn.tidtelefonica.com Â� Usuario TID gac Guillermo Abad Carton e.soportecdn .tidtelefonica.com Â� Usuario TID jrl Javier Ribelles Llobregat e.operacioncdn .tidtelefonica.com Â� Usuario TID gcv Gerardo Cerezo Vazquez e.soportecdnoss.tidtelefonica.com Â� Usuario TID dpp Daniel Perez Puebla e.soportecdn.tidtelefonica.com Â� Usuario TID maab Miguel Ã�ngel Arista Barragan miguel.arista.exttelefonica.com Sergio Sanchez Custodio Telefonica Global Video Unit CDN Operations Distrito Telefonica Ronda de la Comunicacion s n West Building. Floor MADRID Spain Call e.cdnsupportlead.tidtelefonica.com mailto e.cdnsupportlead.tidtelefonica.com,create-wiki
180077,Acceso a Tenant,Hola Me gustaria pedir acceso para el usuario eag a nuestro Tenant. Se trata del -devportal. Muchas gracias cid image .png D BE A.BFA CF Borja Marcos Suarez Development Culture Telefonica I D Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Tlf Skype borja.marcos.suarez cid C A -AC - E- A - DD A A b mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,add-users-to-tenant
180080,Acceso a mi horizon colaborador,Buenas Necesitamos que Adrian Lopez alt Pueda acceder a mi tenant en openstack Muchas gracias un saludo,add-users-to-tenant
180233,Solicitud de acceso a tenant de open stack.,Buenos dias Necesitaria acceso para mi usuario al tenant de open stack. User afs Muchas gracias. -- Alexandro Fortes Silva Dev Ops Release and System Engineer for GVP Distrito Telefonica Plaza Oeste Planta . Ronda de la Comunicacion s n Madrid Spain afortesfull-on-net.com skype afstid,add-users-to-tenant
180272,Network Transferencia de datos,Hola Tenemos el siguiente problema y me interesa saber que soluciones se os ocurren. Nos tienen que pasar unos GB desde Uruguay. Normalmente para estos casos usamos la plaforma de Analytics y los paises se conectan a ella via red BALA para mandarnoslosâ � nos urge bastante disponer de los datos pero no tienen configurados accesos a la red y por lo que estamos viendo les puede llevar bastante solucionarloâ � se os ocurre un plan B para que nos puedan pasar los datos igual un FTP o algo asi para lo que no necesiten usar la red BALAâ � Gracias de antemano. Saludos ines Ines Vidal Castiñeira Telefonica Global BI Big data. Telefonica I D Torre Telefonica Diagonal . Pl. Ernest Lluch . BARCELONA -SPAIN- Tel Mobile,add-ftp-user
180655,Acceso a tenant OST,Buenos dias Necesito que el usuario anm pueda acceder al tenant de EPG -Demo Gracias Ruben,add-users-to-tenant
181049,Acceso OST EPG,Buenas tardes Por favor necesitamos que le deis acceso a el usuario mlt a los siguientes tenant en el OST de EPG -site -dev Un saludo Raul Melo Fernandez,add-users-to-tenant
181741,Acceso a máquinas en openstack,Hola Necesito acceso a los tenants y -site de Openstack. Pongo en copia a mi tutor. Gracias.,add-users-to-tenant
181998,IoT Solicitud de acceso a los tenants de IoT en OSTEPG,Hola buenos dias Solicitamos habilitar el acceso al Dashboard de OST en EPG para que los siguientes usuarios puedan acceder a los tenants de IoT -IOT-demo -IoT-int-ext -IOTVAL y -iot-int Sebastian Toronjo Ruiz str Cesar Jorge Martinez Mata cjmm Jose Miguel Vazquez Viejo jmvv Muchas gracias Un saludo Abel Abel Gutierrez del Olmo Service Delivery - Global Operations Deployment Telefonica Global Resources agutierrezfull-on-net.com Skype agutierrez fon Tlf.,add-users-to-tenant
182109,Wiki request,Hi I would like to create a new Wiki for the TUGo Solution Design Team tugo solution design. Wiki admin uid adgp Private Thanks in advance BR D. David Gallegos Pajares cid A DD -FE - E - A - FB F C-TU go Telefonica I D email david.gallegospajarestelefonica.com mailto jesus.penagarcia-olivatelefonica.com Mobile . . Tel . . TUGo skype dgalpajhotmail.com,create-wiki
183794,Tenants de druida,Hola Necesitamos realizar una serie de cambios y altas de tenants para Druida Nuevos tenants y usuaros que deben tener acceso druida-addons-dev con acceso para dll jorgelg eag jarf spmarin labajo guido prado tdaf-jenkins-ost druida-addons-epg con acceso para tdaf-jenkins-ost Cambio de nombre de los siguientes tenants -Druida-CI - druida-portal-dev -Druida-PRE - druida-portal-epg Sl David,add-users-to-tenant
185324,Acceso para tenant de openstack,Hola Necesitaria dar acceso al tenant -comms-pi al usuario de Lukas Gedvilas b.lge Podeis proporcionarlo Gracias cid image .png D BE A.BFA CF Borja Marcos Suarez Development Culture Telefonica I D Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Tlf Skype borja.marcos.suarez cid D E - A E- ABA-BBE - C A E ADCb mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,add-users-to-tenant
186129,Creacion de wiki Innsu,Hola Necesitaria crear una wiki para el grupo de Innovation Support. El acronimo podria ser innsu. -- Gracias Juan Jorda del Amo Telefonica I D Torre Telefonica Diagonal Plaza Ernest Lluch i Martin a Plta. Barcelona - Spain Email juanmanuel.jordadelamotelefonica.com Skype juan jorda Office Mobile,create-wiki
186614,Wiki para grupo transversal de seguridad,Hola Seriais tan amables de dar de alta sin visbilidad publica el wiki del grupo transversal de seguridad del area de video por favor. Nombre Security Video Unit Nombre Corto secvideo Saludos y gracias Security Video Unit tlf --,create-wiki
187247,Solicitud de acceso a tenant openstack,Hola Necesito que los siguientes usuarios puedan acceder al tenant -feedback .- b.lge .- devportal-jenkins-os Muchas gracias cid image .png D BE A.BFA CF Borja Marcos Suarez Development Culture Telefonica I D Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Tlf Skype borja.marcos.suarez cid A F - - A D- - BBD BC b mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,add-users-to-tenant
188102,wiki SDS,Hola de nuevo Finalmente para completar las herramientas del proyecto SDS queriamos pedir una wiki para el mismo. Necesitamos que tenga url publica para que puedan acceder desde T. Digital. Gracias Antonio,create-wiki
188444,Alta de Alberto Florez en proyecto OpenStack.,Buenos dias Estoy colaborando con David Artuñedo Guillen en el proyecto con tenant -Research de OpenStack. Necesito que me deis acceso. Muchas gracias. Un saludo cid image .png D BE A.BFA CF Alberto Florez Pages Development Culture Telefonica I D Distrito C - Edificio Oeste Ronda de la Comunicacion s n Madrid - España Tlf Skype alberto.florez cid E ABD - CD- FE -A - D C F Balberto.florezpagestelefonica.com mailto ztelefonica.com,add-users-to-tenant
189680,Wikis nueva wiki,Buenas tardes No se si esto sigue activo pero me gustaria crear una nueva wiki para mi proyecto y no se muy bien como hacerlo. El proyecto es VDC. Gracias Un saludo firma Cloud,create-wiki
190454,Creacion de una wiki.,Hola. Necesitariamos una wiki para el proyecto CDN para el grupo de despliegue. Podeis crearla Necesitais datos de algun tipo Alberto.,create-wiki
190969,Usuario genérico para despliegues en OST EPG,Buenas. En Insurance Telematics nos gustaria tener un usuario no personal en los entornos de OpenStack de EPG para poder utilizar en los despliegues automaticos. Los tenants a los que deberia tener acceso son - - -site - -dev Pongo en copia a mi responsable Elena Cerezo. Si necesitais mas datos no dudeis en preguntarnos. Gracias por adelantado. Saludos.,add-users-to-tenant
191075,OPENSTACK Acceso a usuario b.gpd a los tenant de,Hola Necesitamos que el usuario b.gpd Guillermo Pastor Diez tenga acceso a pdihub los tenants -techunit y -techunit-CI del openstack Gracias de antemano.,add-users-to-tenant
191766,Nueva wiki,Hola Necesito una nueva wiki para la iniciativa PDB. Si es posible me gustaria mantener el nombre pdb. Un saludo Marivi Marivi Pelaez Alonso Product Innovation Research Telefonica I D Torre Telefonica Diagonal planta PlaÃ�a Ernest Lluch i Martin Barcelona mariavictoria.pelaezalonsotelefonica.com Tel.,create-wiki
193711,Nueva wiki smartmobility,Buenas Por favor necesitariamos una nueva wiki con nombre smartmobility No es necesario que este accesible desde el exterior. Gracias Jose,create-wiki
195062,Re Access to openstack,Hola Por favor alguien lee los correos a esta direccion Alguien me puede proporcionar informacion de como acceder al openstack de hi Gracias D. David Gallegos Pajares cid image .png D BF E. -TU go Telefonica I D email david.gallegospajarestelefonica.com mailto jesus.penagarcia-olivatelefonica.com Mobile . . Tel . . TUGo skype dgalpajhotmail.com De David Gallegos Pajares david.gallegospajarestelefonica.com Fecha martes de mayo de Para epgtid.es epgtid.es Asunto Access to openstack Ey there Please can I have access to https openstack.hi.inet Thanks in advance D. David Gallegos Pajares cid image .png D BF E. -TU go Telefonica I D email david.gallegospajarestelefonica.com mailto jesus.penagarcia-olivatelefonica.com Mobile . . Tel . . TUGo skype dgalpajhotmail.com,add-users-to-tenant-kilo
196566,Acceso al tenant de Insurance Telematics en OST Kilo,My buenas queria pedir acceso al tenant de OST Kilo de Insurance Telematics -dev para mi usuario jah . Un saludo.,add-users-to-tenant-kilo
196751,Solicitud de tenant en OpenStack,Hola Necesito que me que creais un tenant de uso personal en OpenStack para la iniciativa SmartDigits. Saludos Pedro,add-users-to-tenant-kilo
196905,acceso a openstack,Hola Podeis darme acceso a kilo Es para jugar con un par de maquinas simple. Gracias fran,add-users-to-tenant-kilo
197153,Alta acceso tenant de OST,Hola Necesito acceso al tenant de OST y poder acceder a esas maquinas temas de onpremise. Saludos Cesar Jorge Antes de imprimir piensa en el Medio Ambiente Confidencialidad Este correo electronico y en su caso cualquier documento anexo al mismo puede contener informacion confidencial o de datos de caracter personal dirigida a su destinatario o destinatarios. Queda prohibida su divulgacion copia o distribucion a terceros sin la previa autorizacion escrita del remitente. Si Ud. recibe este correo electronico y cualquier documento anejo al mismo por error no debe divulgarlo copiarlo ni entregarlo a terceros. En el supuesto de que usted no fuera el destinatario le rogamos que lo indique a la direccion electronica del remitente y no comunique su contenido a terceros procediendo a su destruccion. Las opiniones conclusiones y demas informacion incluidas en este correo y en su caso en cualquier documento anejo al mismo que no esten relacionadas con asuntos estrictamente profesionales de AUBAY SPAIN S.A.U se entenderan como no respaldadas por la entidad siendo de la exclusiva responsabilidad del remitente. El remitente no garantiza la integridad rapidez o seguridad del presente correo ni se responsabiliza de posibles perjuicios derivados de su captura incorporaciones de virus o cualesquiera otras manipulaciones efectuadas por terceros.,add-users-to-tenant
197153,Alta acceso tenant de OST,Hola Necesito acceso al tenant de OST y poder acceder a esas maquinas temas de onpremise. Saludos Cesar Jorge Antes de imprimir piensa en el Medio Ambiente Confidencialidad Este correo electronico y en su caso cualquier documento anexo al mismo puede contener informacion confidencial o de datos de caracter personal dirigida a su destinatario o destinatarios. Queda prohibida su divulgacion copia o distribucion a terceros sin la previa autorizacion escrita del remitente. Si Ud. recibe este correo electronico y cualquier documento anejo al mismo por error no debe divulgarlo copiarlo ni entregarlo a terceros. En el supuesto de que usted no fuera el destinatario le rogamos que lo indique a la direccion electronica del remitente y no comunique su contenido a terceros procediendo a su destruccion. Las opiniones conclusiones y demas informacion incluidas en este correo y en su caso en cualquier documento anejo al mismo que no esten relacionadas con asuntos estrictamente profesionales de AUBAY SPAIN S.A.U se entenderan como no respaldadas por la entidad siendo de la exclusiva responsabilidad del remitente. El remitente no garantiza la integridad rapidez o seguridad del presente correo ni se responsabiliza de posibles perjuicios derivados de su captura incorporaciones de virus o cualesquiera otras manipulaciones efectuadas por terceros.,add-users-to-tenant-kilo
197173,Acceso tenant jetsetme-qa jetsetme y jetsetme para Jose Luis Respeto,Buenas Necesito que Jose Luis Respeto jlra tenga acceso a los siguientes tenants de EPG jetsetme-qa jetsetme jetsetme Muchas gracias de antemano,add-users-to-tenant
197940,Alta ost EPG,Hola Me podrian dar de alta en el portal de openStack del epg para el proyecto Usuario xvc Gracias Saludos,add-users-to-tenant
198406,Acceso al tenant -dev de OST Kilo EPG,dmMEQ X-SA-Exim-Connect-IP . . . X-SA-Exim-Mail-From epg-bouncestid.es X-SA-Exim-Scanned No on listas.aislada SAEximRunCond expanded to false X-Mailman-Version . . List-Post mailto epgtid.es List-Subscribe https listas.tid.es mailman listinfo epg t mailto epg-requesttid.essubject subscribe List-Unsubscribe https listas.tid.es mailman options epg t mailto epg-requesttid.essubject unsubscribe List-Archive https listas.tid.es mailman private epg List-Help mailto epg-requesttid.essubject help List-Id epg.tid.es X-Microsoft-Antispam UriScan BCL PCL RULEID SRVR AM PR MB X-Microsoft-Exchange-Diagnostics t AM PR MB HDDy BYxZjX g FRf fSJIUONLbZVHBA tVVGYZ dqI jNevix kSaiXxfBjVGmwxa DdxOYtoEJzQ f C btJH aDCLCb K WzQS jR mKNu leWtq p Hse VYQ RyG URyaUYoDFJ rqe vy AAxRds TPOqtcmSTKFfWzN y g LxNcFntCALSKDvPhyqsVVSVu VPgBA JoYjG KSg CCHOnHQg uIGTZpspTRBXlTqb xgrBUnIYXGRQbI gu H VuvcKpALz ajOMwiay Xo RUzWcfRfoMMz ctwv or dldyioTaJ O jXr Wx afBPnQ mltOnSwDNlW BU OXDUwqRE Nq sNMOmbk u zy D TeP s RHY FjcIDRHkNe oXesm KNYa coRSrdMoUGth fBNLdznMWBnGchiCm cnUW GG abKmtGNmj fPtlYT i KXPJAJ nZiHuq hgkiopWt JPkdFHff xFZn MtMd SzVtEDXoxN LFsG OjPClG CxEKpoL htJdwSVp m pyfFIybLI JkuPdHc knFZnBnURC LimUMhMVBREjPVn BHb aYXOE p tF WihHEcIn RkE BKcCVncT MScqzGC AEctfNfL CIZIgltQmzQ nnr Ksb DJLrnIVGR SVr eT R PDZncSD LXyIpRePHO X-Microsoft-Antispam-PRVS t AM PR MB F A A E DA F B F AM PR MB .eurprd .prod.outlook.com X-Exchange-Antispam-Report-Test UriScan X-Exchange-Antispam-Report-CFA-Test tBCL PCL RULEID SRVR AM PR MB BCL PCL RULEID SRVR AM PR MB X-Forefront-PRVS DBFE X-Forefront-Antispam-Report tSFV NSPM SFS DIR OUT SFP SCL SRVR AM PR MB H . . . FPR SPF None PTR InfoNoRecords MX A LANG es X-Microsoft-Exchange-Diagnostics t utf- BMTtBTTNQUjA TUIyOTA MjM L TRU T RYV FmS VHVkw MGVabnpLTDZL utf- BNGRpWEFkMmZFQnp aTY UitIVjd SzM dlA Rm RUNTeXIvRjZTQ hhUVRN utf- BTUhiQVQ VjFHWmNSQ NNHdLS VlY NyVnhVTVhHRk RQUs d hmeFFhWlhN utf- BZnFrdlpKeFJ aDB ZFUwb CYnFGREYyNEQ Z RyUTZWQmp MTI S pMYjVr utf- BdUJmZHRvVmhSV hNOUZUMXZGTGRpTVoyaVVPRm oSlN cEJ MTZaSDYwN Bo utf- BUmR cWZOYnBVbW Id FqZEc alo L F QXNsVTZsQlc cWhUaG JKzVzUktT utf- BdHBnNllXU oxWjZybldCb hTWh SGEzV xYRWhEN VzR sZWhKdjdQMEZ utf- BUVBrbHVaSEJ cy WU zVUJVNXJQYytzTUluSUx VjJPN RpZzU clVjWlRL utf- BQ Z QllzRDRyL h RFZOUVpJeHFCcFhiNTBxR RXYkZPNk RXdhT RaUGJZ utf- BMFh c pXbjRkcit RFRuSFJkSFZaQzhvd ZhOGZUclFUK Fqa Zoc o dUZ utf- BM duSEhNZ JQNTFqcytkekNIWm WlRydkJCa ZKNEtTdzF U dyTEp K RY utf- BRm rSFJveTBDbDFxd BSW NzNPT ybkZicWZ dzA dkRXODBLK FMSEFI utf- BRnNrV JoTDRJcmppOUZ aDFPSzcyNSs N krSEFUUklQMlR eitFQmJCcXRm utf- BSDhibVhRMHBNMDdaNXovWVRZTldjQWU YjJKeUVDVzBxTE rdnlJUjR VWE utf- BMEFOWDg VU MXRwVmRQM WZXJhaHVHMGRBVS aWsvTGU NGVEQ k UXk utf- Bc lTTkExODU cnJ UjJrMmdObTN VVBZcU DTHBGQ JaOTB clVNbzgxSnZS utf- BTThpSzhQelJhY NaVENRbVY RHZTQ dGQXVud KRVZTZVZKSEVzcUMwZ tF utf- BQnIyMk NNU UjhOV FyM CcWg TnV eDFuY xZa XSnZqbEk c dSQVdr utf- BdFA YmJTeE OUnhFRk nUnU blU a zK hTTUZVNU xRUtKYys TGhTSmZk utf- BcGVObVhtcHc UEc U w SURpVWZYMk PZ pOZVpqQ ZoSEpvTTdTcWp eDZm utf- BRFN M aWS PeUJmS YMnlsNVVsMTAxQ F R WWMybkNyazVlWmk bTlZ utf- BcFQ bVU aXdnZmlPOTd aXF,add-users-to-tenant-kilo
198413,Tenant tdaf-docker en openstack kilo,Hola La semana pasada se creo el tenant tdaf-docker a traves de la incidencia en openstack-epg. Tengo varios comentarios sobre este tenant Â� En la respuesta de la incidencia se indica que se ha creado en https openstack-epg.tid.es. Pero realmente este nombre DNS no lo reconoce y solo esta disponible en https openstack-epg.hi.inet. Â� El nombre del tenant no sigue el mismo formato que los otros tenants. Los que tenemos ya creados empiezan todos por . Por seguir esta misma nomenclatura no deberia llamarse -tdaf-docker Â� Por que no tiene creadas las mismas redes que hay en openstack.hi.inet Esto implica mayor dificultad a la hora de arrancar un tenant. Las creare a mano pero estaria bien saber por que no lo haceis por defecto y si planteais hacerlo en el futuro. Muchas gracias Jorge,add-users-to-tenant-kilo
198908,Solicitud de permisos para tenants de OpenStack Kilo,Hola pueden dar permisos a los usuarios b.lge y devportal-jenkins-os para los siguientes tenants del OpenStack Kilo -Alexia-dev -Alexia-prod -Innovation-map-dev -ci Muchas gracias. Un saludo Lukas.,add-users-to-tenant-kilo
199784,Solicitud usuario genérico para tenant openStack Kilo,Hola Para un proyecto de la direccion de Product Engineering necesitamos un usuario generico que se usara en los despliegues que realicemos de forma automatizada en un tenant nuevo. El usuario se usara en un proyecto que se llama onboardingsession por lo que si el usuario se llama asi seria magnifico. Muchas gracias. cid image .png D E C .F F Borja Marcos Suarez Development Culture Telefonica I D Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Send me a Kudo http kudos.tid.es send borjamarcos Tlf Skype borja.marcos.suarez cid image .png D E C .F F b mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,add-users-to-tenant-kilo
199785,Ituser Solicitud de tenant en openstack KILO,Hola Necesitaria la creacion de un tenant para un nuevo proyecto bajo la direccion de Product Engineering. El tenant deberia ser algo asi como -onboarding-session. Los usuarios que deberian acceder a este tenant son .- bms .- b.lged .- Un usuario generico nuevo que he solicitado a traves del ticket EPG Muchas gracias por vuestra ayuda. Un saludo cid image .png D E CB. E FB Borja Marcos Suarez Development Culture Telefonica I D Distrito C â Edificio Oeste Ronda de la Comunicacion s n Madrid â España Send me a Kudo http kudos.tid.es send borjamarcos Tlf Skype borja.marcos.suarez cid image .png D E CB. E FB b mailto borja.marcossuareztelefonica.com orja.marcossuareztelefonica.com mailto borja.marcossuareztelefonica.com,add-users-to-tenant-kilo
199796,Cluster DCOS,This message is an automated reply to your mail. Includes the following TAG in the subject EPG when we send emails related to the ticket. You can send to the following address epgtid.es To see the content please follow the link below and use your TID user. http vmticket.hi.inet Ticket Display.htmlid ------------------- Me autoabro este ticket para generar un cluster de DCOS. -------------------,crear-maquina-virtual
200652,nuevos usuarios en OST-KILO,Si me podeis crear en el nuevo OST para los siguientes entornos -MobileConnect QA -MobileConnecr INT -MobileConnect DEV -MobileConnect Staging nuevos usuarios cx mobileconnect que es un usuario generico Gracias Pedro,add-users-to-tenant-kilo
200985,Acceso a tenant OST,Hola Necesitamos que el usuario jrp tenga acceso al tenant -tdaf-docker de la instancia de Kilo. Gracias David,add-users-to-tenant-kilo
